id,businessName,category,discountAmount,whoCanRedeem,howToRedeem,description,address,phone,email,website,campusProximity,isFeatured,tags,joinDate,authorizedBy,contactTitle
100,Advance Auto Parts,Auto & Tech,10% to RGV stores only,Students;Faculty;Staff,UTRGV ID,Auto Parts,Valleywide,,,https://shop.advanceautoparts.com/,RGV Area,False,auto,06/01/2025,Santos & Jonathan Luna,Owner
101,"Beauty by Crystal: Lashes, Brows, Skin",Shop (Retail),10% off,Students;Faculty;Staff,UTRGV ID,Provide aesthetician services such as lash lifts and facials.,"1605 E Griffin Parkway, Mission, TX 78572",(956) 777-5818,,,Near Mission,False,shop,06/02/2025,Luis Casas,Social Goat Rep for TDG
102,Betancourt Landscaping Service,Services & Travel,10% on Labor Cost,Students;Faculty;Staff,UTRGV ID,We are a full service landscaping company that will improve and maintain any residential or commercial property. We offer lawn maintenance and landscape design and install.,"2302 Continental St, Edinburg",(956) 325-3245,,https://www.facebook.com/BetLS1/,Near 2302 Continental St,False,services,06/03/2025,Bernice Inzunza,Business Marketing Partner
103,Binary Technologies LLC,Auto & Tech,30%,Students;Faculty;Staff,UTRGV ID,"Industrial electronics, aluminum frame profiles, and engineering services.","6601 S. 27th St, McAllen, TX",(956) 641-3876,,https://binaryb1ts.com/,Near McAllen,False,auto,06/04/2025,Alexsandra Benavides,Representative
104,Bold Insurance,Services & Travel,Free consult.,Students;Faculty;Staff,UTRGV ID,"Life and Health Insurance Retirement Planning Offices in McAllen, Pharr and San Juan.","3309 N Ware Rd, McAllen, TX 78504",956-572-0177,,https://bold-insurance.com/,Near McAllen,True,services,06/05/2025,Jay Gomez,Manager
105,Boot Barn Inc,Shop (Retail),15% off,Students;Faculty;Staff,UTRGV ID,Western and Work Wear.,"507 W Expressway 83, McAllen, TX 78503",(432) 307-0464,,https://www.bootbarn.com/,Near McAllen,False,shop,06/06/2025,Carlos Ruiz,Owner/Operator
106,Brandit,Shop (Retail),10% on purchases.,Students;Faculty;Staff,Use your UTRGV ID at checkout.,Brandit - Embroidery/ Screen Printing/Laser Engraving.,"1200 W Polk Ave, Suite D, Pharr, TX",orders@mybrandit.com,(956) 687-7666,https://www.mybrandit.com/,Near Pharr,False,shop,06/07/2025,Pedro H. Lopez Jr,Owner
107,Cantu's Pharmacy,Health & Beauty,10% off OTC or Vitamins,Students;Faculty;Staff,Use your UTRGV ID at checkout.,Provide various general pharmaceutical services.,"504 S. Closner Blvd, Edinburg, TX 78539",(956) 383-1239,,https://cantuspharmacy.com/,Near Edinburg,False,health,06/08/2025,Rafaella Niki Ray,Social Goat Rep for TDG
108,Champion Awards & Apparel,Health & Beauty,10% on qualifying products.,Students;Faculty;Staff,UTRGV ID,"Trophies, screen printing, engraving, and embroidery.","2627 N Texas Blvd, Weslaco, TX 78599",(956) 684-7154,,https://champtx.com/,Near Weslaco,False,health,06/09/2025,Santos & Jonathan Luna,Business Marketing Partner
109,Chavo Ruco Car Wash,Fun & Events (Entertainment),10%,Students;Faculty;Staff,UTRGV ID,"Chavo Ruco Car Wash offers full interior details, ceramic coating, headlights restoration, car wash services and paint correction.","1708 N Cage Blvd, Pharr, TX 78577",(956) 776-1077,,,Near Pharr,False,fun,06/10/2025,Luis Casas,Representative
110,Cobbleheads Bar and Grill,Eat & Drink (Food & Dining),"10% off food, not applicable with alcohol",Students;Faculty;Staff,"UTRGV ID, In person","Cobbleheads is the heart and sould of Brownsville. We have outside and inside dining, great food, cold beer, amazing atmosphere for family and social get-togethers, and we are pet friendly.","3154 Central Blvd, Brownsville, TX 78520",(956) 546-6224,,,Near Brownsville,False,eat,06/11/2025,Bernice Inzunza,Manager
111,Crunch Fitness,Health & Beauty,10%,Students;Faculty;Staff,Bring your UTRGV ID.,Crunch Fitness Edinburg.,1201 S McColl Rd,(956) 609-9007,,https://www.crunch.com/locations/edinburg,RGV Area,False,health,06/12/2025,Alexsandra Benavides,Owner/Operator
